Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Extra Credit (838909),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162),Free Coding (10 pts) (840138),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assessments Current Score,Assessments Unposted Current Score,Assessments Final Score,Assessments Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,Homework Current Score,Homework Unposted Current Score,Homework Final Score,Homework Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm 1 Current Score,Midterm 1 Unposted Current Score,Midterm 1 Final Score,Midterm 1 Unposted Final Score,Midterm 2 Current Score,Midterm 2 Unposted Current Score,Midterm 2 Final Score,Midterm 2 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,0,40,40,64,10,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
20,15,20,17.31,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,0,100,50,50,100,0,,40,44,54,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,75,100,100,100,100,110,110,110,110,84.38,84.38,84.38,84.38,,,0,0,,,,,92.13,92.13,92.13,92.13,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,37,45,56,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,112.5,112.5,112.5,112.5,87.5,87.5,87.5,87.5,,,0,0,,,,,98.25,98.25,98.25,98.25,A,A,A,A
20,0,20,14.35,0,0,0,0,0,0,0,0,20,20,8,20,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,,15,0,0,,,,0,0,100,100,100,100,33.99,33.99,33.99,33.99,33.33,33.33,33.33,33.33,0,0,0,0,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,,,0,0,,,,,14.06,14.06,14.06,14.06,E,E,E,E
20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,36.5,34,56,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,91.25,91.25,91.25,91.25,85,85,85,85,87.5,87.5,87.5,87.5,,,0,0,,,,,93.94,93.94,93.94,93.94,A,A,A,A
10,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,41,50,0,20,0,20,50,42.5,100,0,,30,45,53,10,,,0,0,100,100,100,100,100,100,100,100,53.67,53.67,53.67,53.67,53.13,53.13,53.13,53.13,75,75,75,75,112.5,112.5,112.5,112.5,82.81,82.81,82.81,82.81,100,100,100,100,,,,,83.34,83.34,83.34,83.34,B,B,B,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,40,45,59,10,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,112.5,112.5,112.5,112.5,92.19,92.19,92.19,92.19,100,100,100,100,,,,,105.31,105.31,105.31,105.31,A,A,A,A
20,0,0,0,0,0,20,0,20,0,0,0,0,20,20,20,20,20,20,20,50,50,50,0,50,50,50,100,50,50,100,100,,37,45,58,,,,0,0,100,100,100,100,55.56,55.56,55.56,55.56,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,112.5,112.5,112.5,112.5,90.63,90.63,90.63,90.63,,,0,0,,,,,92.21,92.21,92.21,92.21,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,62.5,,36,45,52,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,90.63,90.63,90.63,90.63,90,90,90,90,112.5,112.5,112.5,112.5,81.25,81.25,81.25,81.25,,,0,0,,,,,94.28,94.28,94.28,94.28,A,A,A,A
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,32,44,52,10,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,80,80,80,110,110,110,110,81.25,81.25,81.25,81.25,100,100,100,100,,,,,99.75,99.75,99.75,99.75,A,A,A,A
