Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Extra Credit (838909),Midterm 1 (820191),Midterm 2 (820192),Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Final Score,Final Grade
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,0,40,40,(read only),(read only),(read only),(read only),(read only),(read only)
20,15,20,17.31,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,92.13,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,45,,,0,0,98.25,A
20,0,20,14.35,0,0,0,0,0,0,0,0,20,20,8,20,0,50,0,0,50,0,0,0,0,0,,15,0,,,0,0,14.06,E
20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,36.5,34,,,0,0,93.94,A
10,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,41,50,0,20,20,50,42.5,100,,30,45,100,100,100,100,83.34,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,100,100,100,100,105.31,A
20,0,0,0,0,0,20,0,20,0,0,0,0,20,20,20,50,50,50,0,50,50,100,50,50,100,,37,45,,,0,0,92.21,A-
20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,36,45,,,0,0,94.28,A
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,32,44,100,100,100,100,99.75,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,41,,,0,0,93,A
20,20,20,19.89,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,,,0,0,100.63,A
20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,10,34.5,42,,,0,0,94,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,45,,,0,0,96.88,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,44,,,0,0,98.88,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,99.63,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,99.88,A
20,15,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,0,100,50,50,0,,35,38,,,0,0,84.88,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,34.5,43,,,0,0,94.38,A
20,20,15,20,20,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,39,,,0,0,88.38,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,30.94,,,0,0,88.17,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,99.98,,27,36,,,0,0,88.15,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,31,39,,,0,0,85.63,B
20,0,20,20,20,20,20,20,20,18.5,20,20,5,10,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,98.83,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,97.91,,38,45,,,0,0,89.12,B+
