Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162)
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,40,64
20,15,20,17.31,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,0,100,50,50,100,0,40,44,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,45,56
20,0,20,14.35,0,0,0,0,0,0,0,0,20,20,8,20,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,15,0,0
20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,36.5,34,56
10,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,41,50,0,20,0,20,50,42.5,100,0,30,45,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,45,59
20,0,0,0,0,0,20,0,20,0,0,0,0,20,20,20,20,20,20,20,50,50,50,0,50,50,50,100,50,50,100,100,37,45,58
20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,62.5,36,45,52
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,32,44,52
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,41,44
20,20,20,19.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,45,60
20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,65,34.5,42,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,35,45,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38,44,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,45,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,44,60
20,15,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,0,50,100,50,50,0,75,35,38,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,90,34.5,43,51
20,20,15,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,25,35,39,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,35,30.94,43
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,50,100,50,50,99.98,100,27,36,46.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,0,31,39,50
20,0,20,20,20,20,20,20,20,18.5,20,20,5,10,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,45,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,50,50,50,50,50,50,50,100,50,50,97.91,25,38,45,41
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,37.5,50,84.11,100,30.5,39,51
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,0,20,50,0,50,0,50,50,0,100,50,50,46.19,0,35,41,53
